DEVICEID,DEVICENAME,DESCRIPTION,STARTTIME,ENDTIME,INCOUNT,OUTCOUNT
2.0,계동길 69,계동교회 앞,2022-12-03 12:50:41,2022-12-03 13:00:41,6029.0,7564.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:50:41,2022-12-03 13:00:41,1785.0,954.0
2.0,계동길 69,계동교회 앞,2022-12-04 20:40:42,2022-12-04 20:50:42,4710.0,7591.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 20:40:42,2022-12-04 20:50:42,3032.0,4811.0
2.0,계동길 69,계동교회 앞,2022-12-05 08:20:40,2022-12-05 08:30:40,675.0,911.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 08:20:40,2022-12-05 08:30:40,1344.0,391.0
2.0,계동길 69,계동교회 앞,2022-12-06 04:20:39,2022-12-06 04:30:39,109.0,302.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 04:20:39,2022-12-06 04:30:39,165.0,39.0
2.0,계동길 69,계동교회 앞,2022-12-06 13:10:40,2022-12-06 13:20:40,6000.0,7425.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 13:10:40,2022-12-06 13:20:40,3553.0,1640.0
2.0,계동길 69,계동교회 앞,2022-12-06 21:10:40,2022-12-06 21:20:40,8226.0,11288.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 21:10:40,2022-12-06 21:20:40,7556.0,5328.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:50:40,2022-12-01 03:00:40,288.0,511.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:50:40,2022-12-01 03:00:40,136.0,63.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:20:42,2022-12-02 13:30:42,6005.0,7686.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:20:42,2022-12-02 13:30:42,3480.0,1342.0
2.0,계동길 69,계동교회 앞,2022-12-03 13:00:41,2022-12-03 13:10:41,6083.0,7610.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 13:00:41,2022-12-03 13:10:41,1852.0,1012.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:30:41,2022-12-04 06:40:41,121.0,341.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:30:41,2022-12-04 06:40:41,245.0,158.0
2.0,계동길 69,계동교회 앞,2022-12-04 20:50:42,2022-12-04 21:00:42,4723.0,7609.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 20:50:42,2022-12-04 21:00:42,3041.0,4849.0
2.0,계동길 69,계동교회 앞,2022-12-05 08:30:40,2022-12-05 08:40:40,721.0,986.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 08:30:40,2022-12-05 08:40:40,1372.0,407.0
2.0,계동길 69,계동교회 앞,2022-12-05 19:00:41,2022-12-05 19:10:41,5089.0,7920.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 19:00:41,2022-12-05 19:10:41,6253.0,4551.0
2.0,계동길 69,계동교회 앞,2022-12-06 04:30:39,2022-12-06 04:40:39,112.0,306.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 04:30:39,2022-12-06 04:40:39,185.0,42.0
2.0,계동길 69,계동교회 앞,2022-12-06 13:20:40,2022-12-06 13:30:40,6094.0,7581.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 13:20:40,2022-12-06 13:30:40,3634.0,1730.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 04:20:41,2022-12-07 04:30:41,140.0,52.0
2.0,계동길 69,계동교회 앞,2022-12-07 04:20:41,2022-12-07 04:30:41,107.0,470.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 11:20:41,2022-12-07 11:30:41,2246.0,1021.0
2.0,계동길 69,계동교회 앞,2022-12-07 11:20:41,2022-12-07 11:30:41,3690.0,4893.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 18:10:42,2022-12-07 18:20:42,6230.0,4717.0
2.0,계동길 69,계동교회 앞,2022-12-07 18:10:42,2022-12-07 18:20:42,7702.0,10346.0
2.0,계동길 69,계동교회 앞,2022-12-08 00:30:40,2022-12-08 00:40:40,36.0,82.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 00:30:40,2022-12-08 00:40:40,38.0,9.0
2.0,계동길 69,계동교회 앞,2022-12-08 06:40:40,2022-12-08 06:50:40,206.0,531.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 06:40:40,2022-12-08 06:50:40,320.0,106.0
2.0,계동길 69,계동교회 앞,2022-12-08 12:20:41,2022-12-08 12:30:41,2573.0,3715.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 12:20:41,2022-12-08 12:30:41,3263.0,1334.0
2.0,계동길 69,계동교회 앞,2022-12-08 17:50:41,2022-12-08 18:00:41,5160.0,7664.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 17:50:41,2022-12-08 18:00:41,6592.0,4898.0
2.0,계동길 69,계동교회 앞,2022-12-08 23:00:41,2022-12-08 23:10:41,5947.0,8964.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 23:00:41,2022-12-08 23:10:41,8862.0,6814.0
2.0,계동길 69,계동교회 앞,2022-12-09 02:40:41,2022-12-09 02:50:41,88.0,169.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-09 02:40:41,2022-12-09 02:50:41,93.0,23.0
2.0,계동길 69,계동교회 앞,2022-12-01 03:00:40,2022-12-01 03:10:40,294.0,537.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 03:00:40,2022-12-01 03:10:40,143.0,64.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:30:42,2022-12-02 13:40:42,6312.0,8054.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:30:42,2022-12-02 13:40:42,3587.0,1427.0
2.0,계동길 69,계동교회 앞,2022-12-03 13:10:41,2022-12-03 13:20:41,6114.0,7636.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 13:10:41,2022-12-03 13:20:41,1901.0,1072.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:40:41,2022-12-04 06:50:41,122.0,350.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:40:41,2022-12-04 06:50:41,259.0,166.0
2.0,계동길 69,계동교회 앞,2022-12-04 21:00:42,2022-12-04 21:10:42,4736.0,7626.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 21:00:42,2022-12-04 21:10:42,3049.0,4889.0
2.0,계동길 69,계동교회 앞,2022-12-05 08:40:40,2022-12-05 08:50:40,770.0,1066.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 08:40:40,2022-12-05 08:50:40,1424.0,420.0
2.0,계동길 69,계동교회 앞,2022-12-05 19:10:41,2022-12-05 19:20:41,5127.0,7977.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 19:10:41,2022-12-05 19:20:41,6397.0,4615.0
2.0,계동길 69,계동교회 앞,2022-12-06 04:40:39,2022-12-06 04:50:39,112.0,309.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 04:40:39,2022-12-06 04:50:39,185.0,42.0
2.0,계동길 69,계동교회 앞,2022-12-06 13:30:40,2022-12-06 13:40:40,6195.0,7737.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 13:30:40,2022-12-06 13:40:40,3713.0,1789.0
2.0,계동길 69,계동교회 앞,2022-12-06 21:20:40,2022-12-06 21:30:40,8234.0,11311.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 21:20:40,2022-12-06 21:30:40,7570.0,5373.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 04:30:41,2022-12-07 04:40:41,140.0,52.0
2.0,계동길 69,계동교회 앞,2022-12-07 04:30:41,2022-12-07 04:40:41,109.0,490.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 11:30:41,2022-12-07 11:40:41,2348.0,1067.0
2.0,계동길 69,계동교회 앞,2022-12-07 11:30:41,2022-12-07 11:40:41,3929.0,5115.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 18:20:42,2022-12-07 18:30:42,6398.0,4845.0
2.0,계동길 69,계동교회 앞,2022-12-07 18:20:42,2022-12-07 18:30:42,7736.0,10429.0
2.0,계동길 69,계동교회 앞,2022-12-08 00:40:40,2022-12-08 00:50:40,40.0,87.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 00:40:40,2022-12-08 00:50:40,78.0,19.0
2.0,계동길 69,계동교회 앞,2022-12-08 06:50:40,2022-12-08 07:00:40,211.0,544.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 06:50:40,2022-12-08 07:00:40,436.0,139.0
2.0,계동길 69,계동교회 앞,2022-12-08 12:30:41,2022-12-08 12:40:41,2775.0,3881.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 12:30:41,2022-12-08 12:40:41,3454.0,1457.0
2.0,계동길 69,계동교회 앞,2022-12-08 18:00:41,2022-12-08 18:10:41,5201.0,7739.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 18:00:41,2022-12-08 18:10:41,6737.0,5006.0
2.0,계동길 69,계동교회 앞,2022-12-08 23:10:41,2022-12-08 23:20:41,5954.0,8984.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 23:10:41,2022-12-08 23:20:41,8908.0,6826.0
2.0,계동길 69,계동교회 앞,2022-12-01 03:10:40,2022-12-01 03:20:40,303.0,567.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 03:10:40,2022-12-01 03:20:40,143.0,64.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:40:42,2022-12-02 13:50:42,6621.0,8345.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:40:42,2022-12-02 13:50:42,3691.0,1499.0
2.0,계동길 69,계동교회 앞,2022-12-03 13:20:41,2022-12-03 13:30:41,6156.0,7663.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 13:20:41,2022-12-03 13:30:41,2012.0,1165.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:50:41,2022-12-04 07:00:41,126.0,361.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:50:41,2022-12-04 07:00:41,262.0,166.0
2.0,계동길 69,계동교회 앞,2022-12-04 21:10:42,2022-12-04 21:20:42,4748.0,7656.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 21:10:42,2022-12-04 21:20:42,3052.0,4940.0
2.0,계동길 69,계동교회 앞,2022-12-05 08:50:40,2022-12-05 09:00:40,843.0,1210.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 08:50:40,2022-12-05 09:00:40,1472.0,437.0
2.0,계동길 69,계동교회 앞,2022-12-05 19:20:41,2022-12-05 19:30:41,5157.0,8037.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 19:20:41,2022-12-05 19:30:41,6512.0,4694.0
2.0,계동길 69,계동교회 앞,2022-12-06 04:50:39,2022-12-06 05:00:39,120.0,332.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 04:50:39,2022-12-06 05:00:39,208.0,47.0
2.0,계동길 69,계동교회 앞,2022-12-06 13:40:40,2022-12-06 13:50:40,6308.0,7897.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 13:40:40,2022-12-06 13:50:40,3782.0,1873.0
2.0,계동길 69,계동교회 앞,2022-12-06 21:30:40,2022-12-06 21:40:40,8244.0,11347.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-06 21:30:40,2022-12-06 21:40:40,7590.0,5413.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 04:40:41,2022-12-07 04:50:41,140.0,52.0
2.0,계동길 69,계동교회 앞,2022-12-07 04:40:41,2022-12-07 04:50:41,126.0,529.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 11:40:41,2022-12-07 11:50:41,2440.0,1098.0
2.0,계동길 69,계동교회 앞,2022-12-07 11:40:41,2022-12-07 11:50:41,4145.0,5316.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-07 18:30:42,2022-12-07 18:40:42,6541.0,4973.0
2.0,계동길 69,계동교회 앞,2022-12-07 18:30:42,2022-12-07 18:40:42,7760.0,10505.0
2.0,계동길 69,계동교회 앞,2022-12-08 00:50:40,2022-12-08 01:00:40,47.0,92.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 00:50:40,2022-12-08 01:00:40,85.0,19.0
2.0,계동길 69,계동교회 앞,2022-12-08 07:00:40,2022-12-08 07:10:40,226.0,593.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 07:00:40,2022-12-08 07:10:40,512.0,155.0
2.0,계동길 69,계동교회 앞,2022-12-08 12:40:41,2022-12-08 12:50:41,2933.0,4058.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 12:40:41,2022-12-08 12:50:41,3582.0,1600.0
2.0,계동길 69,계동교회 앞,2022-12-08 18:10:41,2022-12-08 18:20:41,5230.0,7806.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-08 18:10:41,2022-12-08 18:20:41,6838.0,5114.0
2.0,계동길 69,계동교회 앞,2022-12-09 05:00:42,2022-12-09 05:10:42,136.0,287.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-09 05:00:42,2022-12-09 05:10:42,134.0,50.0
2.0,계동길 69,계동교회 앞,2022-12-01 03:20:40,2022-12-01 03:30:40,303.0,579.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 03:20:40,2022-12-01 03:30:40,169.0,66.0
2.0,계동길 69,계동교회 앞,2022-12-02 13:50:42,2022-12-02 14:00:42,6909.0,8688.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 13:50:42,2022-12-02 14:00:42,3778.0,1573.0
2.0,계동길 69,계동교회 앞,2022-12-03 13:30:41,2022-12-03 13:40:41,6197.0,7717.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 13:30:41,2022-12-03 13:40:41,2067.0,1226.0
2.0,계동길 69,계동교회 앞,2022-12-04 07:00:41,2022-12-04 07:10:41,128.0,372.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 07:00:41,2022-12-04 07:10:41,262.0,166.0
2.0,계동길 69,계동교회 앞,2022-12-04 21:20:42,2022-12-04 21:30:42,4763.0,7685.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 21:20:42,2022-12-04 21:30:42,3058.0,4965.0
2.0,계동길 69,계동교회 앞,2022-12-05 09:00:40,2022-12-05 09:10:40,917.0,1324.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 09:00:40,2022-12-05 09:10:40,1499.0,439.0
2.0,계동길 69,계동교회 앞,2022-12-05 19:30:41,2022-12-05 19:40:41,5182.0,8079.0
